company;brand_name;query;argentina;bolivia;brazil;chile;colombia;ecuador;mexico;peru
NESTLE;CRACKER;"(intext:""CRACKER"" OR intext:""CRACKERS"") AND (intext:""MABELS"" OR intext:""MABEL'S"") AND (intext:""galleta"" OR intext:""galletas"" OR intext:""galletitas"")";No;Si;No;No;No;No;No;No
NESTLE;CREMOSITA;"intext:""CREMOSITA"" AND (intext:""galleta"" OR intext:""galletas"" OR intext:""galletitas"" OR intext:""biscoitos"" OR intext:""biscoito"") AND (intext:""NESTLE"" OR intext:""NESTLÉ"")";No;Si;Si;No;No;No;No;No
NESTLE;CROSSE AND BLACKWELL;"(intext:""CROSSE AND BLACKWELL"" OR intext:""CROSSE & BLACKWELL"" OR intext:""CROSSEnBLACKWELL"" OR intext:""CROSSEBLACKWELL"")";No;No;No;No;No;No;Si;No
NESTLE;CRUNCH;"intext:""CRUNCH"" AND (intext:""NESTLE"" OR intext:""NESTLÉ"")";No;Si;No;No;No;No;No;No
NESTLE;D'ONOFRIO;"intext:""D'ONOFRIO"" AND (intext:""NESTLE"" OR intext:""NESTLÉ"" OR intext:""CHOCOTÓN"")";No;No;No;No;No;Si;No;No
NESTLE;DANKY;"intext:""DANKY"" AND (intext:""helado"" OR intext:""helados"" OR intext:""NESTLE"" OR intext:""NESTLÉ"")";No;No;No;Si;No;No;No;No
NESTLE;DECAF;"intext:""DECAF"" AROUND(3) (intext:""NESCAFÉ"" OR intext:""NESCAFE"")";No;Si;No;No;No;No;No;Si
NESTLE;DENTALIFE;"intext:""DENTALIFE"" AND (intext:""NESTLE"" OR intext:""NESTLÉ"" OR intext:""PURINA""))";No;No;No;No;No;No;No;Si
NESTLE;DOG CHOW;"(intext:""DOG CHOW"" OR intext:""DOGCHOW"" OR intext:""DOG-CHOW"") AND (intext:""NESTLE"" OR intext:""NESTLÉ"" OR intext:""PURINA"")";No;Si;No;No;No;No;Si;No
NESTLE;DOGCHOW;"intext:""DOGCHOW"" AND (intext:""NESTLE"" OR intext:""NESTLÉ"" OR intext:""PURINA"")";No;No;No;No;No;No;Si;No
NESTLE;DOGUI;"intext:""DOGUI"" AND (intext:""NESTLE"" OR intext:""NESTLÉ"" OR intext:""PURINA"")";No;Si;No;No;No;No;No;No
NESTLE;DOGUITOS;"intext:""DOGUITOS"" AND (intext:""NESTLE"" OR intext:""NESTLÉ"" OR intext:""PURINA"")";No;Si;No;No;No;No;No;Si
NESTLE;DOIS FRADES;"intext:""DOIS FRADES"" AND (intext:""NESTLE"" OR intext:""NESTLÉ"")";No;No;Si;No;No;No;No;No
NESTLE;DOLCA;"intext:""DOLCA"" -""BANANITA DOLCA""";Si;No;No;No;No;No;Si;No
NESTLE;DOLCE GUSTO;"intext:""DOLCE GUSTO"" OR intext:""DOLCEGUSTO"" OR intext:""DOLCE-GUSTO""";Si;No;Si;Si;Si;Si;No;Si
NESTLE;DOLCEGUSTO;"intext:""DOLCEGUSTO""";No;No;No;No;Si;Si;No;No
NESTLE;DORÉ;"intext:""DORÉ"" AROUND(2) (intext:""galleta"" OR intext:""galletas"" OR intext:""galletitas"" ))";No;No;No;No;No;No;No;Si
NESTLE;DULCICREMA;"intext:""DULCICREMA""";No;No;No;No;No;No;Si;No
NESTLE;ECCO;"intext:""ECCO"" AROUND(5) (intext:""NESTLE"" OR intext:""NESTLÉ"" OR intext:""CAFÉ"" OR intext:""CAFE"" OR intext:""cebada"")";No;Si;No;No;No;No;No;Si
NESTLE;ESTRELITAS;"intext:""ESTRELITAS"" AND (intext:""NESTLE"" OR intext:""NESTLÉ"")";No;No;Si;No;No;No;No;No
NESTLE;ESTRELLITAS;"intext:""ESTRELLITAS"" AND (intext:""NESTLE"" OR intext:""NESTLÉ"")";No;No;No;No;No;No;No;Si
NESTLE;FANCY FEAST;"intext:""FANCY FEAST"" AND (intext:""NESTLE"" OR intext:""NESTLÉ"" OR intext:""PURINA"")";No;No;No;No;No;No;Si;No
NESTLE;FARINHA LÁCTEA NESTLÉ;"intext:""FARINHA LÁCTEA"" AND (intext:""NESTLE"" OR intext:""NESTLÉ"")";No;No;Si;No;No;Si;No;No
NESTLE;FELIX TRAVESURAS;"intext:""FELIX TRAVESURAS"" AND (intext:""NESTLE"" OR intext:""NESTLÉ"" OR intext:""PURINA"")";No;No;No;No;No;No;No;Si
NESTLE;FIBERMAIS;"(intext:""FIBERMAIS"" OR intext:""FIBERMAIS"") AND (intext:""NESTLE"" OR intext:""NESTLÉ"")";No;No;Si;No;No;No;No;No
NESTLE;FRESKAS;"intext:""FRESKAS"" AND (intext:""NESTLE"" OR intext:""NESTLÉ"")";No;No;No;No;No;No;Si;No
NESTLE;FRÍO RICO;"intext:""FRÍO RICO"" AND (intext:""NESTLE"" OR intext:""NESTLÉ"")";No;No;No;No;No;No;No;Si
NESTLE;GALAK;"intext:""GALAK"" AND (intext:""NESTLE"" OR intext:""NESTLÉ"")";No;No;Si;No;No;No;No;No
NESTLE;GAROTO;"intext:""GAROTO"" AND (intext:""CHOCOLATES"" OR intext:""CHOCOLATE"" OR intext:""BOMBONES"" OR intext:""BOMBOMES"" OR intext:""BOMBOM"" OR intext:""BOMBON"")  AND (intext:""NESTLE"" OR intext:""NESTLÉ"")";Si;No;Si;No;No;No;No;No
NESTLE;GATI;"intext:""GATI"" AND (intext:""NESTLE"" OR intext:""NESTLÉ"" OR intext:""PURINA"")";No;Si;No;No;No;No;No;Si
NESTLE;GAUCHITAS;"intext:""GAUCHITAS"" AND (intext:""galleta"" OR intext:""galletas"" OR intext:""galletitas"" OR intext:""NESTLE"" OR intext:""NESTLÉ"")";No;Si;No;No;No;No;No;No
NESTLE;GERBER;"intext:""GERBER"" AND (intext:""NESTLE"" OR intext:""NESTLÉ"")";No;No;No;No;No;Si;Si;No
NESTLE;GERBER LOGO;"intext:""GERBER LOGO"" AND (intext:""NESTLE"" OR intext:""NESTLÉ"")";No;No;No;No;No;No;No;Si
NESTLE;GOOD CARE;"intext:""GOOD CARE"" AND (intext:""formula"" OR intext:""formulas"" OR intext:""fórmula"" OR intext:""fórmulas"") AND (intext:""NESTLE"" OR intext:""NESTLÉ"")";No;No;No;No;No;No;Si;No
NESTLE;GREGO;"intext:""GREGO"" AND (intext:""NESTLE"" OR intext:""NESTLÉ"")";No;No;Si;No;No;No;No;No
NESTLE;HUESTITOS;"intext:""HUESITOS"" AND intext:""jugo"" AND (intext:""NESTLE"" OR intext:""NESTLÉ"")";No;No;No;No;No;Si;No;No
NESTLE;KIRMA;"intext:""KIRMA"" AND (intext:""NESTLE"" OR intext:""NESTLÉ"" OR intext:""NESCAFE"" OR intext:""NESCAFÉ"")";No;No;No;No;No;No;No;Si
NESTLE;KIT KAT;"intext:""KIT KAT"" OR intext:""KITKAT"" OR intext:""KIT-KAT""";Si;Si;Si;Si;Si;Si;Si;Si
NESTLE;KITKAT;"intext:""KITKAT""";Si;No;Si;Si;Si;Si;Si;No
NESTLE;KLIM;"intext:""KLIM"" AND (intext:""NESTLE"" OR intext:""NESTLÉ"")";No;No;No;Si;No;No;No;No
NESTLE;LA LECHERA;"intext:""LA LECHERA"" AND (intext:""NESTLE"" OR intext:""NESTLÉ"")";Si;No;No;No;Si;No;Si;No
NESTLE;LARIN;"(intext:""LARIN"" OR intext:""LARÍN"") AND (intext:""NESTLE"" OR intext:""NESTLÉ"")";No;No;No;No;No;No;Si;No
NESTLE;LES RECETTES DE L'ATELIER;"intext:""LES RECETTES DE L'ATELIER"" OR intext:""LES RECETTES DE LATELIER""";No;No;Si;No;No;No;No;No
NESTLE;LOGO NESQUIK;"intext:""LOGO NESQUIK""";No;Si;No;No;No;No;No;No
NESTLE;LUCKY CHARMS;"intext:""LUCKY CHARMS"" AND (intext:""NESTLE"" OR intext:""NESTLÉ"")";No;No;No;No;No;No;Si;No
NESTLE;MAGGI;"intext:""MAGGI"" AND (intext:""NESTLE"" OR intext:""NESTLÉ"")";Si;Si;Si;Si;Si;Si;Si;Si
NESTLE;MARIA MAIZENA;"intext:""MARIA MAIZENA"" AND (intext:""galleta"" OR intext:""galletas"" OR intext:""galletitas"" OR intext:""NESTLE"" OR intext:""NESTLÉ"")";No;Si;No;No;No;No;No;Si
NESTLE;MCKAY;"intext:""MCKAY"" AND (intext:""galleta"" OR intext:""galletas"" OR intext:""galletitas"") AND (intext:""NESTLE"" OR intext:""NESTLÉ"")";No;No;Si;No;No;No;No;No
NESTLE;MEGA;"intext:""MEGA"" AND (intext:""helado"" OR intext:""helados"") AND (intext:""NESTLE"" OR intext:""NESTLÉ"")";No;No;No;Si;No;No;No;No
NESTLE;MILO;"intext:""MILO"" AND (intext:""NESTLE"" OR intext:""NESTLÉ"")";No;No;No;Si;No;No;No;No
NESTLE;MOÇA;"intext:""MOÇA"" AND (intext:""NESTLE"" OR intext:""NESTLÉ"")";No;No;Si;No;No;No;No;No
NESTLE;MOLICO;"intext:""MOLICO"" AND (intext:""NESTLE"" OR intext:""NESTLÉ"")";No;No;Si;No;No;No;No;No
NESTLE;MORELIA;"(intext:""MORELIA"" AND (intext:""chocolate"" OR intext:""chocolates"")) AND (intext:""NESTLE"" OR intext:""NESTLÉ"")";No;No;No;No;No;Si;No;No
NESTLE;MOTTA;"(intext:""MOTTA"" AND (intext:""gelati"" OR intext:""helado"" OR intext:""helados"" OR intext:""paneton"" OR intext:""panetón"" OR intext:""panettone"")) AND (intext:""NESTLE"" OR intext:""NESTLÉ"")";No;No;No;No;No;No;Si;No
NESTLE;MUCILON;"intext:""MUCILON"" AND (intext:""NESTLE"" OR intext:""NESTLÉ"")";No;No;Si;No;No;No;No;No
NESTLE;NAN;"intext:""NAN"" AND (intext:""NESTLE"" OR intext:""NESTLÉ"")";No;No;No;Si;No;No;No;No
NESTLE;NAN OPTIPRO 3;"intext:""NAN OPTIPRO 3""";No;Si;No;No;No;No;No;No
NESTLE;NATURNES;"(intext:""NATURNES"" OR intext:""NATURNÉS"") AND (intext:""NESTLE"" OR intext:""NESTLÉ"")";No;No;No;No;Si;No;No;No
NESTLE;NEGRESCO;"intext:""NEGRESCO"" AND (intext:""NESTLE"" OR intext:""NESTLÉ"")";No;No;Si;No;No;No;No;No
NESTLE;NESCAFE;"intext:""NESCAFE"" OR intext:""NESCAFÉ""";Si;No;Si;Si;Si;No;Si;Si
NESTLE;NESCAFÉ;"intext:""NESCAFÉ""";Si;No;Si;Si;No;No;Si;Si
NESTLE;NESCAU;"intext:""NESCAU""";No;No;Si;No;No;No;No;No
NESTLE;NESFIT;"intext:""NESFIT""";Si;No;Si;No;No;No;No;No
NESTLE;NESLAC;"intext:""NESLAC""";No;No;Si;No;No;No;No;No
NESTLE;NESPRESSO;"intext:""NESPRESSO""";Si;No;Si;Si;No;No;Si;No
NESTLE;NESQUIK;"intext:""NESQUIK""";Si;Si;Si;No;No;No;Si;Si
NESTLE;NESTEA;"intext:""NESTEA""";No;No;No;Si;No;No;No;No
NESTLE;NESTLÉ AGÜITAS;"intext:""AGÜITAS"" AND (intext:""NESTLE"" OR intext:""NESTLÉ"")";No;No;No;No;No;No;No;Si
NESTLE;NESTLÉ CEREAL CARLOS V;"intext:""NESTLÉ CEREAL CARLOS V""";No;No;No;No;No;No;No;Si
NESTLE;NESTLÉ CLASSIC;"intext:""NESTLÉ CLASSIC"" OR intext:""NESTLE CLASSIC"" ";Si;No;No;No;No;No;No;No
NESTLE;NESTLÉ CORN FLAKES;"intext:""NESTLÉ CORN FLAKES""";No;No;No;No;No;No;Si;No
NESTLE;NESTLÉ DAISY;"(intext:""DAISY"" AND (intext:""galleta"" OR intext:""galletas"" OR intext:""galletitas"")) AND (intext:""NESTLE"" OR intext:""NESTLÉ"")";No;No;No;No;No;Si;No;No
NESTLE;NESTLÉ FITNESS;"intext:""NESTLÉ FITNESS""";No;No;No;No;No;No;Si;No
NESTLE;NESTLE GALAK;"intext:""NESTLE GALAK""";No;No;No;No;No;No;Si;No
NESTLE;NESTLÉ HEALTH SCIENCE-AAA;"intext:""NESTLÉ HEALTH SCIENCE"" OR intext:""NESTLE HEALTH SCIENCE""";No;No;No;No;No;No;No;Si
