company;brand_name;query;argentina;bolivia;brazil;chile;colombia;ecuador;mexico;peru;;
JOHNSON & JOHNSON;JOHNSON & JOHNSON;"intext:""JOHNSON & JOHNSON"" OR intext:""J&J"" OR intext:""JnJ"" -""Junta Nacional de Justicia""";Si;No;Si;Si;Si;No;No;Si;;
JOHNSON & JOHNSON;NEUTROGENA;"intext:""NEUTROGENA""";Si;No;Si;Si;Si;Si;No;Si;;
JOHNSON & JOHNSON;OGX;"intext:""OGX""";Si;No;Si;No;No;No;No;No;;
JOHNSON & JOHNSON;LISTERINE;"intext:""LISTERINE""";Si;No;Si;Si;Si;Si;No;Si;;
JOHNSON & JOHNSON;CAREFREE;"intext:""CAREFREE"" AND (intext:""JOHNSON & JOHNSON"" OR intext:""J&J"" OR intext:""JnJ"")";Si;No;Si;Si;Si;Si;No;Si;;
JOHNSON & JOHNSON;SIEMPRELIBRE;"intext:""SIEMPRELIBRE""";Si;No;No;No;No;No;No;No;;
JOHNSON & JOHNSON;OB;"(intext:""OB"" OR intext:""O.B."") AND (intext:""tampones"" OR intext:""tampon"")";Si;No;Si;No;Si;Si;No;Si;;
JOHNSON & JOHNSON;BAND-AID;"intext:""BAND-AID"" AND (intext:""JOHNSON & JOHNSON"" OR intext:""J&J"" OR intext:""JnJ"")";Si;No;Si;Si;No;No;No;No;;
JOHNSON & JOHNSON;COTONETES;"intext:""COTONETES""";Si;No;Si;No;Si;No;No;No;;
JOHNSON & JOHNSON;REACTINE;"intext:""REACTINE""";No;No;Si;No;No;No;No;No;;
JOHNSON & JOHNSON;ACUVUE;"intext:""ACUVUE""";No;No;Si;No;No;No;No;No;;
JOHNSON & JOHNSON;AVEENO;"intext:""AVEENO""";No;No;Si;Si;No;No;No;No;;
JOHNSON & JOHNSON;BENALET;"intext:""BENALET""";No;No;Si;No;No;No;No;No;;
JOHNSON & JOHNSON;NEOSTRATA;"intext:""NEOSTRATA""";No;No;Si;No;No;No;No;No;;
JOHNSON & JOHNSON;MYLANTA PLUS;"intext:""MYLANTA PLUS""";No;No;Si;No;No;No;No;No;;
JOHNSON & JOHNSON;NICORETTE;"intext:""NICORETTE""";No;No;Si;No;No;No;No;No;;
JOHNSON & JOHNSON;SEMPRELIVRE;"intext:""SEMPRELIVRE""";No;No;Si;No;No;No;No;No;;
JOHNSON & JOHNSON;SUNDOWN;"intext:""SUNDOWN"" AND (intext:""JOHNSON & JOHNSON"" OR intext:""J&J"" OR intext:""JnJ"")";No;No;Si;No;Si;Si;No;No;;
JOHNSON & JOHNSON;TYLENOL;"intext:""TYLENOL""";No;No;Si;No;No;No;No;No;;
JOHNSON & JOHNSON;HIPOGLO'S;"(intext:""HIPOGLO'S"" OR intext:""Hipoglós"" OR intext:""hipoglos"") AND (intext:""JOHNSON & JOHNSON"" OR intext:""J&J"" OR intext:""JnJ"")";No;No;Si;No;No;No;No;No;;
JOHNSON & JOHNSON;REACH;"intext:""REACH"" AND (intext:""floss"" OR intext:""toothbrush"" OR intext:""hilo dental"" OR intext:""cepillo dental"" OR intext:""Escova de Dente"" OR intext:""fio dental"") AND (intext:""JOHNSON & JOHNSON"" OR intext:""J&J"" OR intext:""JnJ"")";No;No;Si;Si;No;No;No;No;;
JOHNSON & JOHNSON;DESITIN JOHNSON'S;"intext:""DESITIN JOHNSON'S""";No;No;Si;Si;No;No;No;No;;
JOHNSON & JOHNSON;NEKO;"intext:""NEKO"" AND (intext:""Jábon"" OR intext:""jabon"" OR intext:""jabones"") AND (intext:""JOHNSON & JOHNSON"" OR intext:""J&J"" OR intext:""JnJ"")";No;No;No;Si;No;No;No;No;;
JOHNSON & JOHNSON;STAYFREE;"intext:""STAYFREE""";No;No;No;No;Si;Si;No;Si;;
JOHNSON & JOHNSON;DESITIN;"intext:""DESITIN""";No;No;No;No;Si;No;No;No;;
JOHNSON & JOHNSON;LUBRIDERM;"intext:""LUBRIDERM""";No;No;No;No;Si;Si;No;No;;
JOHNSON & JOHNSON;LUBRIDEM;"intext:""LUBRIDEM""";No;No;No;No;Si;No;No;Si;;
KELLOGGS;KELLOGGS;"intext:""KELLOGGS"" OR intext:""KELLOGG'S""";No;No;No;No;No;No;Si;No;;
KIMBERLY CLARK;KIMBERLY CLARK;"intext:""KIMBERLY CLARK"" OR intext:""KIMBERLY-CLARK""";Si;Si;No;Si;Si;Si;Si;Si;;
KIMBERLY CLARK;DEPEND;"intext:""DEPEND"" AND (intext:""KIMBERLY CLARK"" OR intext:""KIMBERLY-CLARK"")";Si;Si;No;Si;Si;Si;Si;Si;;
KIMBERLY CLARK;POISE;"intext:""POISE"" AND (intext:""KIMBERLY CLARK"" OR intext:""KIMBERLY-CLARK"")";Si;Si;No;Si;Si;Si;Si;Si;;
KIMBERLY CLARK;PLENITUD;"intext:""PLENITUD""AND (intext:""KIMBERLY CLARK"" OR intext:""KIMBERLY-CLARK"")";Si;Si;No;Si;Si;Si;Si;Si;;
KIMBERLY CLARK;HUGGIES;"intext:""HUGGIES""";Si;Si;No;Si;Si;Si;Si;Si;;
KIMBERLY CLARK;PULL-UPS;"intext:""PULL-UPS""AND (intext:""KIMBERLY CLARK"" OR intext:""KIMBERLY-CLARK"")";Si;Si;No;Si;Si;Si;Si;Si;;
KIMBERLY CLARK;GOODNITES;"intext:""GOODNITES""AND (intext:""KIMBERLY CLARK"" OR intext:""KIMBERLY-CLARK"")";Si;Si;No;Si;Si;Si;Si;Si;;
KIMBERLY CLARK;DRYNITES;"intext:""DRYNITES""";Si;Si;No;Si;Si;Si;Si;Si;;
KIMBERLY CLARK;LITTLE SWIMMERS;"intext:""LITTLE SWIMMERS""AND (intext:""KIMBERLY CLARK"" OR intext:""KIMBERLY-CLARK"")";Si;Si;No;Si;Si;Si;Si;Si;;
KIMBERLY CLARK;KLEENBEBÉ;"intext:""KLEENBEBÉ""";Si;Si;No;Si;Si;Si;Si;Si;;
KIMBERLY CLARK;GREEN FINGER;"intext:""GREEN FINGER""AND (intext:""KIMBERLY CLARK"" OR intext:""KIMBERLY-CLARK"")";Si;Si;No;Si;Si;Si;Si;Si;;
KIMBERLY CLARK;KLEENEX;"intext:""KLEENEX""";Si;Si;No;Si;Si;Si;Si;Si;;
KIMBERLY CLARK;ANDREX;"intext:""ANDREX""AND (intext:""KIMBERLY CLARK"" OR intext:""KIMBERLY-CLARK"")";Si;Si;No;Si;Si;Si;Si;Si;;
KIMBERLY CLARK;HAKLE;"intext:""HAKLE""";Si;Si;No;Si;Si;Si;Si;Si;;
KIMBERLY CLARK;COTTONELLE;"intext:""COTTONELLE""";Si;Si;No;Si;Si;Si;Si;Si;;
KIMBERLY CLARK;SCOTTEX;"intext:""SCOTTEX""";Si;Si;No;Si;Si;Si;Si;Si;;
KIMBERLY CLARK;NEVE;"intext:""NEVE"" AND (intext:""KIMBERLY CLARK"" OR intext:""KIMBERLY-CLARK"")";Si;Si;No;Si;Si;Si;Si;Si;;
KIMBERLY CLARK;PÉTALO;"intext:""PÉTALO""AND (intext:""KIMBERLY CLARK"" OR intext:""KIMBERLY-CLARK"")";Si;Si;No;Si;Si;Si;Si;Si;;
KIMBERLY CLARK;WONDERSOFT;"intext:""WONDERSOFT""AND (intext:""KIMBERLY CLARK"" OR intext:""KIMBERLY-CLARK"")";Si;Si;No;Si;Si;Si;Si;Si;;
KIMBERLY CLARK;TELA;"intext:""TELA""AND (intext:""KIMBERLY CLARK"" OR intext:""KIMBERLY-CLARK"")";Si;Si;No;Si;Si;Si;Si;Si;;
KIMBERLY CLARK;SCOTT;"intext:""SCOTT""AND (intext:""KIMBERLY CLARK"" OR intext:""KIMBERLY-CLARK"")";Si;Si;No;Si;Si;Si;Si;Si;;
KIMBERLY CLARK;VIVA;"intext:""VIVA"" AND (intext:""KIMBERLY CLARK"" OR intext:""KIMBERLY-CLARK"")";Si;Si;No;Si;Si;Si;Si;Si;;
KIMBERLY CLARK;KOTEX;"intext:""KOTEX""";Si;Si;No;Si;Si;Si;Si;Si;;
KIMBERLY CLARK;INTIMUS;"intext:""INTIMUS""AND (intext:""KIMBERLY CLARK"" OR intext:""KIMBERLY-CLARK"")";Si;Si;No;Si;Si;Si;Si;Si;;
KIMBERLY CLARK;CAMELIA;"intext:""CAMELIA""AND (intext:""KIMBERLY CLARK"" OR intext:""KIMBERLY-CLARK"")";Si;Si;No;Si;Si;Si;Si;Si;;
KIMBERLY CLARK;WYPALL;"intext:""WYPALL""";Si;Si;No;Si;Si;Si;Si;Si;;
KIMBERLY CLARK;KIMTECH;"intext:""KIMTECH""";Si;Si;No;Si;Si;Si;Si;Si;;
KIMBERLY CLARK;KLEENGUARD;"intext:""KLEENGUARD""";Si;Si;No;Si;Si;Si;Si;Si;;
KOMATSU;KOMATSU;"intext:""KOMATSU""";No;No;No;Si;Si;No;No;Si;;
LATAM;LATAM;"intext:""LATAM"" AND (intext:""airline"" OR intext:""aerolínea"" OR intext:""compañía aérea"")";Si;No;Si;No;Si;Si;Si;Si;;
LATAM;LAN;"intext:""LAN"" AND (intext:""LATAM"" OR intext:""airline"" OR intext:""aerolínea"" OR intext:""compañía aérea"")";Si;No;Si;No;Si;Si;Si;Si;;
LATAM;TAM;"intext:""TAM"" AND (intext:""LATAM"" OR intext:""airline"" OR intext:""aerolínea"" OR intext:""compañía aérea"")";Si;No;Si;No;Si;Si;Si;Si;;
LATAM;MASAIR;"intext:""MASAIR""";Si;No;Si;No;Si;Si;Si;Si;;
LOREAL;LOREAL;"intext:""LOREAL"" OR intext:""L'OREAL"" OR intext:""L'ORÉAL""";Si;No;No;Si;No;No;Si;Si;;
LOREAL;BIOTHERM;"intext:""BIOTHERM""";Si;No;No;Si;No;No;Si;Si;;
LOREAL;CERAVE;"intext:""CERAVE""";Si;No;No;Si;No;No;Si;Si;;
LOREAL;DARK & LOVELY;"intext:""DARK & LOVELY""";Si;No;No;Si;No;No;Si;Si;;
LOREAL;DECLÉOR;"intext:""DECLÉOR"" OR intext:""DECLEOR""";No;No;No;Si;No;No;Si;No;;
LOREAL;ESSIE;"intext:""ESSIE"" AND (intext:""nail"" OR intext:""nails"" OR intext:""uña"" OR intext:""uñas"")";Si;No;No;Si;No;No;Si;Si;;
LOREAL;GARNIER;"intext:""GARNIER""";Si;No;No;Si;No;No;Si;Si;;
LOREAL;HELENA RUBINSTEIN;"intext:""HELENA RUBINSTEIN""";Si;No;No;Si;No;No;Si;Si;;
LOREAL;IT COSMETICS;"intext:""IT COSMETICS""";Si;No;No;Si;No;No;Si;Si;;
LOREAL;KERASTASE;"intext:""KERASTASE""";Si;No;No;Si;No;No;Si;Si;;
LOREAL;KIEHL'S SINCE 1851;"intext:""KIEHL'S SINCE 1851"" OR intext:""KIEHL'S""";Si;No;No;Si;No;No;Si;Si;;
LOREAL;L'OREAL PROFESSIONEL;"intext:""L'OREAL PROFESSIONEL"" OR intext:""LOREAL PROFESSIONEL"" OR intext:""L'ORÉAL PROFESSIONEL""";Si;No;No;Si;No;No;Si;Si;;
LOREAL;LA ROCHE-POSAY;"intext:""LA ROCHE-POSAY"" OR intext:""LA ROCHE POSAY""";Si;No;No;Si;No;No;Si;Si;;
LOREAL;LANCOME;"intext:""LANCOME"" OR intext:""LANCÔME""";Si;No;No;Si;No;No;Si;Si;;
LOREAL;MAGIC MASK;"intext:""MAGIC MASK""";Si;No;No;Si;No;No;Si;Si;;
LOREAL;MATRIX;"intext:""MATRIX"" AND (intext:""LOREAL"" OR intext:""L'OREAL"" OR intext:""L'ORÉAL"")";Si;No;No;Si;No;No;Si;Si;;
LOREAL;MAYBELLINE NEW YORK;"intext:""MAYBELLINE NEW YORK""";Si;No;No;Si;No;No;Si;Si;;
LOREAL;MIXA;"intext:""MIXA"" AND (intext:""LOREAL"" OR intext:""L'OREAL"" OR intext:""L'ORÉAL"")";Si;No;No;Si;No;No;Si;Si;;
LOREAL;MUGLER;"intext:""MUGLER"" AND (intext:""LOREAL"" OR intext:""L'OREAL"" OR intext:""L'ORÉAL"")";Si;No;No;Si;No;No;Si;Si;;
LOREAL;NIELY;"intext:""NIELY""";Si;No;No;Si;No;No;Si;Si;;
LOREAL;NYX PROFFESIONAL MAKEUP;"intext:""NYX PROFFESIONAL MAKEUP"" OR intext:""NYX MAKEUP"" OR (intext:""NYX"" AND (intext:""LOREAL"" OR intext:""L'OREAL"" OR intext:""L'ORÉAL""))";Si;No;No;Si;No;No;Si;Si;;
LOREAL;PUREOLOGY;"intext:""PUREOLOGY""";Si;No;No;Si;No;No;Si;Si;;
LOREAL;REDKEN;"intext:""REDKEN""";Si;No;No;Si;No;No;Si;Si;;
LOREAL;SHU UEMURA;"intext:""SHU UEMURA""";Si;No;No;Si;No;No;Si;Si;;
LOREAL;SKINCEUTICALS;"intext:""SKINCEUTICALS""";Si;No;No;Si;No;No;Si;Si;;
LOREAL;STYLENANDA;"intext:""STYLENANDA""";Si;No;No;Si;No;No;Si;Si;;
LOREAL;URBAN DECAY;"intext:""URBAN DECAY""";Si;No;No;Si;No;No;Si;No;;
LOREAL;VICHY;"intext:""VICHY""";Si;No;No;Si;No;No;Si;Si;;
LOREAL;VIKTOR&ROLF;"intext:""VIKTOR&ROLF""";No;No;No;Si;No;No;Si;Si;;
LOREAL;YUE SAI;"intext:""YUE SAI"" OR intext:""YUESAI"" OR intext:""YUE-SAI""";Si;No;No;Si;No;No;Si;Si;;
MANPOWER;MANPOWER;"intext:""MANPOWER""";Si;No;No;No;No;No;No;No;;
MAPFRE;MAPFRE;"intext:""MAPFRE""";Si;No;No;No;Si;Si;Si;Si;;
MAPFRE;MAPFRE ATLAS;"intext:""MAPFRE ATLAS"" OR intext:""MAPFRE-ATLAS""";No;No;No;No;No;Si;No;No;;
MARRIOTT;MARRIOTT;"intext:""MARRIOTT""";No;No;No;No;No;Si;Si;Si;;
MASTERCARD;MASTERCARD;"intext:""MASTERCARD""";Si;No;No;No;No;No;No;No;;
MCDONALDS;MCDONALD'S;"intext:""MCDONALD'S"" OR intext:""MCDONALDS"" OR intext:""MCDONALD""";Si;No;Si;No;No;Si;No;Si;;
MERCEDES BENZ;MERCEDES BENZ;"intext:""MERCEDES BENZ"" OR intext:""MERCEDES-BENZ""";Si;No;Si;Si;No;No;No;Si;;
MERCEDES BENZ;SMART;"intext:""SMART"" AND (intext:""MERCEDES BENZ"" OR intext:""MERCEDES-BENZ"" OR intext:""BENZ"")";Si;No;Si;Si;No;No;No;Si;;
MERCK;MERCK;"intext:""MERCK""";No;No;No;No;No;Si;No;Si;;
METLIFE;METLIFE;"intext:""METLIFE""";No;No;No;Si;Si;No;Si;Si;;
METROGAS;METROGAS;"intext:""METROGAS""";No;No;No;Si;No;No;No;Si;;
MICROSOFT;MICROSOFT;"intext:""MICROSOFT""";Si;No;Si;Si;Si;Si;Si;Si;;
MONDELEZ;MONDELEZ;"intext:""MONDELEZ""";Si;No;Si;No;No;Si;Si;Si;;
MONDELEZ;KRAFT;"intext:""KRAFT"" AND intext:""MONDELEZ""";Si;No;Si;No;No;Si;Si;Si;;
MONDELEZ;KRAFT FOODS;"intext:""KRAFT FOODS""";Si;No;Si;No;No;Si;Si;Si;;
MONDELEZ;BAZOOKA;"intext:""BAZOOKA"" AND intext:""MONDELEZ""";Si;No;No;No;No;Si;No;Si;;
MONDELEZ;BELDENT;"intext:""BELDENT""";Si;No;No;No;No;Si;No;Si;;
MONDELEZ;BUBBALOO;"intext:""BUBBALOO""";Si;No;Si;No;No;Si;Si;Si;;
MONDELEZ;CADBURY;"intext:""CADBURY""";Si;No;No;No;No;Si;No;Si;;
MONDELEZ;CEREALITAS;"intext:""CEREALITAS""";Si;No;No;No;No;Si;No;Si;;
MONDELEZ;CLIGHT;"intext:""CLIGHT""";Si;No;Si;No;No;Si;Si;Si;;
MONDELEZ;HALLS;"intext:""HALLS"" AND intext:""MONDELEZ""";Si;No;No;No;No;Si;Si;Si;;
MONDELEZ;LENGUE TAZO;"intext:""LENGUE TAZO""";Si;No;No;No;No;No;No;No;;
MONDELEZ;MANTECOL;"intext:""MANTECOL""";Si;No;No;No;No;No;No;No;;
MONDELEZ;MAYCO;"intext:""MAYCO""";Si;No;No;No;No;No;No;No;;
MONDELEZ;MILKA;"intext:""MILKA""";Si;No;No;No;No;Si;No;Si;;
MONDELEZ;OREO;"intext:""OREO""";Si;No;Si;No;No;Si;Si;Si;;
MONDELEZ;PALITOS DE LA SELVA;"intext:""PALITOS DE LA SELVA""";Si;No;No;No;No;No;No;No;;
MONDELEZ;PEPITOS;"intext:""PEPITOS""";Si;No;No;No;No;No;No;No;;
MONDELEZ;RHODESIA;"intext:""RHODESIA""";Si;No;No;No;No;No;No;No;;
MONDELEZ;SHOT;"intext:""SHOT"" AND intext:""MONDELEZ""";Si;No;Si;No;No;No;No;No;;
MONDELEZ;SUCHARD;"intext:""SUCHARD""";Si;No;No;No;No;Si;No;Si;;
MONDELEZ;TANG;"intext:""TANG"" AND intext:""MONDELEZ""";Si;No;Si;No;No;Si;Si;Si;;
MONDELEZ;TERRABUSI;"intext:""TERRABUSI""";Si;No;No;No;No;No;No;No;;
MONDELEZ;TITA;"intext:""TITA""  AND intext:""MONDELEZ""";Si;No;No;No;No;No;No;No;;
MONDELEZ;TOBLERONE;"intext:""TOBLERONE""";Si;No;Si;No;No;No;No;No;;
MONDELEZ;BON GOUTER;"intext:""BON GOUTER""";No;No;Si;No;No;No;No;No;;
MONDELEZ;CHICLETS;"intext:""CHICLETS""";No;No;Si;No;No;Si;Si;Si;;
MONDELEZ;CHOCOLICIA;"intext:""CHOCOLICIA""";No;No;Si;No;No;No;No;No;;
MONDELEZ;CHOCOOKY;"intext:""CHOCOOKY""";No;No;Si;No;No;No;No;No;;
MONDELEZ;CLORETS;"intext:""CLORETS""";No;No;Si;No;No;Si;Si;Si;;
MONDELEZ;DIAMANTE NEGRO;"intext:""DIAMANTE NEGRO"" AND intext:""MONDELEZ""";No;No;Si;No;No;No;No;No;;
MONDELEZ;LACTA;"intext:""LACTA"" AND intext:""MONDELEZ""";No;No;Si;No;No;No;No;No;;
MONDELEZ;PLETS;"intext:""PLETS"" AND intext:""MONDELEZ""";No;No;Si;No;No;No;No;No;;
MONDELEZ;TRAKINAS;"intext:""TRAKINAS""";No;No;Si;No;No;No;No;No;;
MONDELEZ;BRAN;"intext:""BRAN"" AND intext:""MONDELEZ""";No;No;No;No;No;Si;Si;Si;;
MONDELEZ;CHIPS AHOY;"intext:""CHIPS AHOY""";No;No;No;No;No;Si;Si;Si;;
MONDELEZ;JELL O;"intext:""JELL O"" OR intext:""JELL-O"" AND (intext:""gelatina"" OR intext:""pudding"")";No;No;No;No;No;Si;Si;Si;;
MONDELEZ;LOG CABIN;"intext:""LOG CABIN"" AND intext:""MONDELEZ""";No;No;No;No;No;Si;Si;Si;;
MONDELEZ;MARBÚ DORADA;"intext:""MARBÚ DORADA"" OR intext:""MARBU DORADA""";No;No;No;No;No;Si;Si;Si;;
MONDELEZ;RITZ;"intext:""RITZ"" AND intext:""MONDELEZ"" -intext:""hotel""";No;No;No;No;No;Si;Si;Si;;
MONDELEZ;SOUR PATCH;"intext:""SOUR PATCH"" AND intext:""MONDELEZ""";No;No;No;No;No;Si;Si;Si;;
MONDELEZ;ROYAL;"intext:""ROYAL"" AND intext:""MONDELEZ"" AND intext:""postres""";No;No;No;No;No;Si;Si;No;;
MONDELEZ;TRIDENT;"intext:""TRIDENT"" AND intext:""MONDELEZ""";No;No;No;No;No;Si;Si;Si;;
MONDELEZ;PHILADELPHIA;"intext:""PHILADELPHIA"" AND intext:""MONDELEZ""";No;No;No;No;No;Si;Si;Si;;
MONDELEZ;CHAMPAGNE;"intext:""CHAMPAGNE"" AND intext:""MONDELEZ""";No;No;No;No;No;No;No;Si;;
NATURA;NATURA;"intext:""NATURA""AND (intext:""company"" OR intext:""compañía"" OR intext:""empresa"" OR intext:""firm"" OR intext:""firma"") AND  (intext:""Accesorios"" OR intext:""ropa"" OR intext:""decoración"" OR intext:""hogar"" OR intext:""vestidos"" OR intext:""regalos"" OR intext:""lyfestile"")";Si;Si;No;Si;Si;No;Si;Si;;
NATURA;EKOS;"intext:""EKOS"" AND intext:""NATURA""";Si;Si;No;Si;Si;No;Si;Si;;
NATURA;ERVA DOCE;"intext:""ERVA DOCE"" AND intext:""NATURA""";Si;Si;No;Si;Si;No;Si;Si;;
NATURA;FOTOEQUILÍBRIO;"intext:""FOTOEQUILÍBRIO""";Si;Si;No;Si;Si;No;Si;Si;;
NATURA;HOMEM;"intext:""HOMEM"" AND intext:""NATURA"" AND (intext:""perfume"" OR intext:""parfum"" OR intext:""eau de toilette"" OR intext:""desodorante"" OR intext:""gel"" OR intext:""jabón"" OR intext:afeit* OR intext:""cabello"")";Si;Si;No;Si;Si;No;Si;Si;;
NATURA;ILIA;"intext:""ILIA"" AND intext:""NATURA"" AND (intext:""perfume"" OR intext:""parfum"")";Si;Si;No;Si;Si;No;Si;Si;;
NATURA;KAIAK;"intext:""KAIAK"" AND (intext:""perfume"" OR intext:""parfum"")";Si;Si;No;Si;Si;No;Si;Si;;
NATURA;KRISKA;"intext:""KRISKA"" AND (intext:""perfume"" OR intext:""parfum"")";Si;Si;No;Si;Si;No;Si;Si;;
NATURA;SÈVE;"intext:""SÈVE"" AND intext:""NATURA"" AND (intext:""perfume"" OR intext:""parfum"")";Si;Si;No;Si;Si;No;Si;Si;;
NATURA;SR N;"(intext:""SR N"" OR intext:""SR. N"" OR intext:""SRN"") AND intext:""NATURA"" AND (intext:""perfume"" OR intext:""parfum"")";Si;Si;No;Si;Si;No;Si;Si;;
NATURA;TODODIA;"intext:""TODODIA"" AND intext:""NATURA""";Si;Si;No;Si;Si;No;Si;Si;;
NESTLE;NESTLE;"intext:""NESTLE"" OR intext:""NESTLÉ""";Si;Si;Si;Si;Si;Si;Si;Si;;
NESTLE;AFTER EIGHT;"intext:""AFTER EIGHT"" AND (intext:""NESTLE"" OR intext:""NESTLÉ"")";Si;Si;No;No;No;No;No;No;;
NESTLE;ACQUA PANNA;"intext:""ACQUA PANNA"" AND (intext:""NESTLE"" OR intext:""NESTLÉ"")";No;Si;No;No;No;No;No;No;;
NESTLE;ALMONRIS;"(intext:""ALMONRIS"" OR intext:""ALMON RIS"" OR intext:""ALMON-RIS"" OR intext:""ALMON.RIS"") AND (intext:""NESTLE"" OR intext:""NESTLÉ"")";No;No;No;No;No;No;Si;No;;
NESTLE;ALPINO;"(intext:""ALPINO"" AROUND(5) (intext:""chocolate"" OR intext:""chocolates"")) AND (intext:""NESTLE"" OR intext:""NESTLÉ"")";No;Si;No;No;No;No;No;No;;
NESTLE;ANCHOR;"(intext:""ANCHOR"" AND (intext:""NESTLE"" OR intext:""NESTLÉ"")) OR intext:""leche ANCHOR"" OR intext:""ANCHOR leche""";No;Si;No;No;No;No;No;Si;;
NESTLE;ANIMALINES Y SALADITAS;"intext:""ANIMALINES Y SALADITAS""";No;Si;No;No;No;No;No;No;;
NESTLE;BANANITA DOLCA;"intext:""BANANITA DOLCA""";Si;No;No;No;No;No;No;No;;
NESTLE;BATON;"intext:""BATON"" AND (intext:""NESTLE"" OR intext:""NESTLÉ"")";No;No;Si;No;No;No;No;No;;
NESTLE;BATÓN;"intext:""BATÓN"" AND (intext:""NESTLE"" OR intext:""NESTLÉ"")";Si;No;No;No;No;No;No;No;;
NESTLE;BENEFUL;"intext:""BENEFUL"" AND (intext:""NESTLE"" OR intext:""NESTLÉ"")";No;No;No;No;No;Si;No;No;;
NESTLE;BESOS DE MOZA;"intext:""BESOS DE MOZA"" AND (intext:""NESTLE"" OR intext:""NESTLÉ"")";No;No;No;No;No;No;No;Si;;
NESTLE;BONO;"(intext:""BONO"" AROUND(3) (intext:""galletitas"" OR intext:""galleta"" OR intext:""galletas"" OR intext:""biscoitos"" OR intext:""biscoito"")) AND (intext:""NESTLE"" OR intext:""NESTLÉ"")";No;No;Si;No;No;No;No;No;;
NESTLE;BOOST;"intext:""BOOST"" AND (intext:""NESTLE"" OR intext:""NESTLÉ"")";Si;No;No;No;No;No;No;No;;
NESTLE;BUON NATALE;"intext:""BUON NATALE"" AND (intext:""NESTLE"" OR intext:""NESTLÉ"")";No;No;No;No;No;No;Si;No;;
NESTLE;CALIPSO;"(intext:""CALIPSO"" AROUND(3) (intext:""galletitas"" OR intext:""galleta"" OR intext:""galletas"" OR intext:""biscoitos"" OR intext:""biscoito"")) AND (intext:""NESTLE"" OR intext:""NESTLÉ"")";No;No;Si;No;No;No;No;No;;
NESTLE;CARLOS V;"intext:""CARLOS V"" AND (intext:""NESTLE"" OR intext:""NESTLÉ"")";No;No;No;No;No;Si;No;Si;;
NESTLE;CARNATION;"intext:""CARNATION"" AND (intext:""NESTLE"" OR intext:""NESTLÉ"")";No;Si;No;No;No;No;No;No;;
NESTLE;CAT CHOW;"(intext:""CAT CHOW"" OR intext:""CATCHOW"" OR intext:""CAT-CHOW"") AND (intext:""NESTLE"" OR intext:""NESTLÉ"" OR intext:""PURINA"")";No;Si;No;No;No;No;Si;Si;;
NESTLE;CEREAL FITNESS;"((intext:""CEREAL"" OR intext:""CEREALES"") AROUND(3) intext:""FITNESS"") AND (intext:""NESTLE"" OR intext:""NESTLÉ"")";No;No;No;No;No;No;Si;Si;;
NESTLE;CEREAL SUBLIME;"intext:""CEREAL SUBLIME"" AND (intext:""NESTLE"" OR intext:""NESTLÉ"")";No;No;No;No;No;No;No;Si;;
NESTLE;CEREAVENA;"intext:""CEREAVENA""";No;No;No;No;No;Si;No;No;;
NESTLE;CERELAC;"intext:""CERELAC""";No;Si;No;No;No;Si;No;Si;;
NESTLE;CHAMBINHO;"intext:""CHAMBINHO"" AND (intext:""NESTLE"" OR intext:""NESTLÉ"")";No;No;Si;No;No;No;No;No;;
NESTLE;CHAMYTO;"intext:""CHAMYTO"" AND (intext:""NESTLE"" OR intext:""NESTLÉ"")";No;No;Si;Si;No;No;No;No;;
NESTLE;CHANDELLE;"intext:""CHANDELLE"" AND (intext:""NESTLE"" OR intext:""NESTLÉ"")";No;No;Si;Si;No;No;No;No;;
NESTLE;CHARGE;"(intext:""CHARGE"" AROUND(5) intext:""chocolate"") AND (intext:""NESTLE"" OR intext:""NESTLÉ"")";No;Si;No;No;No;No;No;No;;
NESTLE;CHEERIOS;"intext:""CHEERIOS""";No;No;Si;No;No;Si;Si;Si;;
NESTLE;CHOCAPIC;"intext:""CHOCAPIC""";No;Si;No;Si;No;Si;No;Si;;
NESTLE;CHOCOTÓN;"intext:""CHOCOTÓN""";No;No;No;No;No;No;Si;No;;
NESTLE;CINNAMON TOAST CRUNCH;"intext:""CINNAMON TOAST CRUNCH""";No;No;No;No;No;No;Si;No;;
NESTLE;COCO CLASSIC;"intext:""COCO CLASSIC"" AND (intext:""NESTLE"" OR intext:""NESTLÉ"")";No;No;No;No;No;Si;No;No;;
NESTLE;COCOSETTE;"intext:""COCOSETTE""";No;No;No;No;No;Si;No;No;;
NESTLE;COFFEE MATE;"(intext:""COFFEE MATE"" OR intext:""COFFEE-MATE"" OR intext:""COFFEMATE"") AND (intext:""NESTLE"" OR intext:""NESTLÉ"")";Si;No;No;No;No;Si;Si;No;;
NESTLE;CONSOMATE;"intext:""CONSOMATE""";No;No;No;No;No;No;Si;No;;
NESTLE;COOKIECRISP;"intext:""COOKIECRISP""";No;No;No;No;No;No;Si;No;;
NESTLE;CORN FLAKES;"intext:""CORN FLAKES""";No;No;Si;No;No;No;Si;No;;
NESTLE;CREMOSITA;"intext:""CREMOSITA"" AND (intext:""galleta"" OR intext:""galletas"" OR intext:""galletitas"" OR intext:""biscoitos"" OR intext:""biscoito"") AND (intext:""NESTLE"" OR intext:""NESTLÉ"")";No;Si;Si;No;No;No;No;No;;
