company;brand_name;query;argentina;bolivia;brazil;chile;colombia;ecuador;mexico;peru;;
CATERPILLAR;PERKINS;"intext:""PERKINS"" AND intext:""CATERPILLAR""";No;No;Si;No;No;No;No;No;;
CATERPILLAR;SEM;"intext:""SEM"" AND intext:""CATERPILLAR""";No;No;Si;No;No;No;No;No;;
CATERPILLAR;PROGRESS RAIL;"intext:""PROGRESS RAIL""";No;No;Si;No;No;No;No;No;;
CATERPILLAR;SOLAR TURBINES;"intext:""SOLAR TURBINES"" AND intext:""CATERPILLAR""";No;No;Si;No;No;No;No;No;;
CATERPILLAR;OLYMPIAN;"intext:""OLYMPIAN"" AROUND(5) intext:""CATERPILLAR""";No;No;Si;No;No;No;No;No;;
CATERPILLAR;TURNER POWERTRAIN SYSTEMS;"intext:""TURNER POWERTRAIN SYSTEMS""";No;No;Si;No;No;No;No;No;;
CEMEX;CEMEX;"intext:""CEMEX""";No;No;No;No;Si;No;No;No;;
CENCOSUD;CENCOSUD;"intext:""CENCOSUD""";Si;No;No;No;Si;No;No;Si;;
CENCOSUD;JUMBO;"intext:""CENCOSUD"" AND intext:""JUMBO""";Si;No;No;No;Si;No;No;No;;
CENCOSUD;VEA;"intext:""CENCOSUD"" AND intext:""VEA""";Si;No;No;No;No;No;No;No;;
CENCOSUD;DISCO;"intext:""CENCOSUD"" AND intext:""DISCO""";Si;No;No;No;No;No;No;No;;
CENCOSUD;CUISINE & CO;"intext:""CUISINE & CO""";Si;No;No;No;Si;No;No;Si;;
CENCOSUD;CUISINE & CO READY!;"intext:""CUISINE & CO READY!""";Si;No;No;No;Si;No;No;Si;;
CENCOSUD;NEX;"intext:""NEX"" AROUND(5) (intext:""CENCOSUD"" OR intext:""Jumbo"" OR intext:""VEA"" OR intext:""DISCO"" OR intext:""METRO"" OR intext:""WONG"")";Si;No;No;No;Si;No;No;Si;;
CENCOSUD;HOMECARE;"(intext:""HOMECARE"" OR intext:""HOME CARE"") AND intext:""CENCOSUD""";Si;No;No;No;Si;No;No;Si;;
